timing_condition,evaluation_group,raw_fragment_cluster,N_total_hypothesis_records,N_hard_feasible,N_dynamic_available,N_same_optical_sample,N_fragment_break,N_observation_unavailable,N_static_shell_infeasible,N_direction_indeterminate,N_direction_concordant,N_direction_contradictory,N_direction_unavailable,dynamic_availability_rate_of_total,determinate_direction_rate_of_dynamic_available
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,7,7,0,0,7,0,0,0,0,0,7,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON023,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021,1,1,1,0,0,0,0,1,0,0,0,1.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON023,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON023,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021,3,3,3,0,0,0,0,3,0,0,0,1.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON023,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON018__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,UNAVAILABLE,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,UNAVAILABLE,6,0,0,0,0,0,6,0,0,0,6,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON017,13,13,13,0,0,0,0,13,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,14,14,0,0,14,0,0,0,0,0,14,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON018__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,13,13,0,0,13,0,0,0,0,0,13,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON018,14,14,14,0,0,0,0,14,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017,3,3,3,0,0,0,0,3,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON018__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON018,3,3,3,0,0,0,0,3,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021,2,2,2,0,0,0,0,2,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,5,5,0,0,5,0,0,0,0,0,5,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,6,6,0,0,6,0,0,0,0,0,6,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021,5,5,5,0,0,0,0,5,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON018__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON024,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON024,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON024__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON024,1,1,1,0,0,0,0,1,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON024,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON024,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON024,2,2,2,0,0,0,0,2,0,0,0,1.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON024__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON024__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,3,3,0,0,3,0,0,0,0,0,3,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON024__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,2,2,0,0,2,0,0,0,0,0,2,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON018__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
